Seed: 1540529731
1 Mutation GA Run, Best Fitness, Generations, Time
0, 249, 186, 2
1, 440, 72, 0
2, 436, 125, 1
3, 396, 100, 1
4, 298, 142, 0
5, 353, 100, 1
6, 318, 137, 1
7, 362, 116, 0
8, 552, 63, 1
9, 342, 130, 1
10, 277, 145, 1
11, 406, 105, 0
12, 268, 180, 1
13, 338, 119, 0
14, 324, 161, 1
15, 235, 194, 1
16, 356, 114, 1
17, 289, 173, 1
18, 253, 206, 1
19, 266, 174, 1
20, 459, 80, 1
21, 358, 135, 1
22, 263, 129, 1
23, 255, 174, 1
24, 290, 163, 1
25, 309, 132, 0
26, 385, 122, 1
27, 346, 114, 1
28, 324, 166, 1
29, 231, 204, 1

2 Mutation GA Run, Best Fitness, Generations, Time
0, 373, 144, 1
1, 254, 166, 1
2, 322, 100, 1
3, 356, 113, 1
4, 291, 150, 1
5, 325, 153, 1
6, 302, 129, 0
7, 484, 88, 1
8, 241, 145, 1
9, 319, 110, 1
10, 348, 124, 0
11, 396, 103, 1
12, 250, 165, 1
13, 361, 115, 1
14, 450, 100, 1
15, 370, 132, 0
16, 257, 157, 1
17, 443, 96, 1
18, 385, 78, 0
19, 353, 125, 1
20, 316, 173, 1
21, 302, 158, 1
22, 269, 129, 0
23, 335, 111, 1
24, 351, 102, 1
25, 248, 177, 1
26, 250, 135, 1
27, 385, 114, 1
28, 387, 104, 0
29, 407, 94, 1

3 Mutation GA Run, Best Fitness, Generations, Time
0, 460, 105, 1
1, 324, 114, 1
2, 244, 214, 1
3, 255, 169, 1
4, 282, 136, 1
5, 312, 170, 1
6, 382, 90, 1
7, 326, 124, 1
8, 291, 138, 1
9, 323, 90, 0
10, 307, 138, 1
11, 253, 186, 1
12, 307, 143, 1
13, 332, 120, 1
14, 313, 125, 1
15, 285, 129, 1
16, 223, 216, 1
17, 330, 129, 1
18, 301, 125, 1
19, 248, 153, 1
20, 411, 80, 1
21, 379, 120, 0
22, 234, 163, 1
23, 307, 156, 1
24, 301, 135, 1
25, 473, 61, 1
26, 277, 197, 1
27, 327, 129, 1
28, 240, 171, 1
29, 316, 125, 1

4 Mutation GA Run, Best Fitness, Generations, Time
0, 634, 55, 1
1, 420, 135, 0
2, 273, 171, 2
3, 410, 72, 0
4, 274, 188, 1
5, 312, 152, 1
6, 260, 180, 2
7, 357, 119, 0
8, 381, 115, 1
9, 390, 94, 1
10, 320, 125, 1
11, 263, 145, 1
12, 351, 83, 0
13, 262, 188, 1
14, 357, 106, 1
15, 385, 80, 1
16, 320, 117, 0
17, 326, 115, 1
18, 267, 163, 1
19, 342, 98, 1
20, 341, 117, 1
21, 303, 199, 1
22, 371, 98, 1
23, 342, 107, 0
24, 319, 131, 1
25, 370, 96, 1
26, 213, 207, 1
27, 283, 147, 1
28, 318, 103, 1
29, 343, 130, 1

5 Mutation GA Run, Best Fitness, Generations, Time
0, 762, 47, 0
1, 203, 196, 2
2, 346, 111, 0
3, 490, 80, 1
4, 284, 172, 1
5, 315, 128, 1
6, 352, 147, 1
7, 410, 99, 1
8, 316, 137, 1
9, 325, 125, 0
10, 346, 101, 1
11, 344, 100, 1
12, 480, 98, 0
13, 333, 145, 1
14, 566, 45, 1
15, 274, 181, 1
16, 340, 116, 1
17, 243, 232, 1
18, 315, 144, 1
19, 379, 96, 1
20, 300, 142, 1
21, 241, 167, 1
22, 393, 97, 1
23, 322, 121, 1
24, 435, 93, 0
25, 338, 116, 1
26, 283, 175, 1
27, 315, 121, 1
28, 430, 68, 1
29, 266, 169, 1

0 crossover GA Run, Best Fitness, Generations, Time
0, 994, 13, 0
1, 1032, 11, 1
2, 1043, 11, 1
3, 1061, 13, 0
4, 1039, 11, 1
5, 1012, 12, 1
6, 973, 14, 0
7, 1065, 12, 1
8, 984, 13, 1
9, 924, 17, 1
10, 977, 14, 0
11, 1005, 13, 1
12, 1021, 15, 1
13, 1100, 11, 1
14, 929, 14, 0
15, 1000, 13, 1
16, 1023, 14, 1
17, 945, 11, 0
18, 1039, 13, 1
19, 1016, 12, 1
20, 1019, 12, 0
21, 993, 13, 1
22, 900, 11, 1
23, 1043, 12, 0
24, 1042, 11, 1
25, 1034, 12, 1
26, 838, 19, 1
27, 1000, 11, 0
28, 1058, 11, 1
29, 1003, 14, 1

1 crossover GA Run, Best Fitness, Generations, Time
0, 965, 12, 0
1, 997, 14, 1
2, 1006, 12, 1
3, 988, 13, 1
4, 1026, 11, 0
5, 1026, 11, 1
6, 996, 13, 0
7, 964, 11, 0
8, 1035, 11, 1
9, 1013, 13, 0
10, 1028, 11, 1
11, 1014, 12, 1
12, 1012, 12, 0
13, 1033, 12, 1
14, 978, 11, 1
15, 1007, 11, 0
16, 983, 17, 1
17, 993, 12, 1
18, 1023, 13, 1
19, 1000, 13, 0
20, 1007, 11, 1
21, 1030, 11, 1
22, 1005, 11, 0
23, 949, 13, 1
24, 1020, 11, 0
25, 966, 13, 1
26, 1098, 11, 1
27, 913, 13, 0
28, 1049, 11, 1
29, 1016, 12, 1

2 crossover GA Run, Best Fitness, Generations, Time
0, 955, 11, 0
1, 1017, 11, 1
2, 1006, 11, 1
3, 1029, 13, 0
4, 955, 13, 1
5, 925, 12, 1
6, 1038, 12, 0
7, 1027, 11, 1
8, 1042, 11, 0
9, 952, 12, 1
10, 1062, 12, 1
11, 909, 12, 0
12, 985, 11, 1
13, 1030, 11, 0
14, 1021, 11, 1
15, 1044, 11, 1
16, 1014, 11, 0
17, 993, 11, 1
18, 1061, 11, 0
19, 990, 14, 1
20, 1048, 12, 1
21, 1007, 11, 0
22, 1006, 11, 1
23, 1044, 11, 1
24, 1021, 11, 0
25, 1029, 11, 1
26, 1043, 12, 0
27, 1045, 12, 1
28, 930, 13, 1
29, 1043, 11, 0

3 crossover GA Run, Best Fitness, Generations, Time
0, 308, 124, 7
1, 303, 165, 8
2, 357, 111, 6
3, 341, 77, 4
4, 307, 133, 6
5, 349, 154, 8
6, 329, 129, 7
7, 308, 167, 8
8, 292, 155, 8
9, 342, 135, 7
10, 377, 100, 5
11, 398, 95, 5
12, 462, 85, 4
13, 356, 118, 6
14, 488, 66, 4
15, 379, 129, 6
16, 366, 123, 7
17, 262, 161, 8
18, 314, 171, 9
19, 366, 85, 4
20, 333, 121, 7
21, 425, 79, 4
22, 295, 165, 8
23, 416, 88, 5
24, 354, 118, 6
25, 346, 136, 7
26, 269, 234, 12
27, 345, 99, 5
28, 525, 46, 2
29, 395, 69, 4

Best Overall (greedy): 87 | Average Best: 88.6667 | Valid trees found: 30 | Runs: 30 | Time: 0
